gene log2FoldChange
AT1G08100 10.402207790382699
AT4G08570 10.402065117330242
AT5G42800 9.629746482518732
AT5G19880 9.311531534817146
AT4G09600 9.029627890907303
AT5G22570 8.926662709351541
AT4G09820 8.83738592955826
AT1G22150 8.708750194054561
AT2G29470 8.643732877827542
AT5G59310 8.532849539285337
AT5G53820 8.526596870276158
AT2G04070 8.488445785153658
AT3G48850 8.451709549144462
AT5G19470 8.417786305483755
AT5G46610 8.376587538771972
AT5G15500 8.313050688710913
AT5G55270 8.27383506498408
AT2G14610 8.223080689397076
AT3G13130 8.133489123644642
AT1G54040 8.067631597713946
AT5G40990 8.064712707373344
AT4G11393 7.9728453479158725
AT2G30750 7.912203541282218
AT2G26400 7.88856988280251
AT5G46830 7.823790728568617
AT4G11310 7.788958673197117
AT1G13609 7.768284394532476
AT3G13433 7.686611065099065
AT1G70260 7.685158348995697
AT3G48640 7.609243990986445
AT1G21240 7.519651514867093
AT2G07213 7.46904240602116
AT2G18190 7.464986880069773
AT4G31970 7.4502488838708505
AT1G30170 7.434916469167485
AT2G14580 7.398971483342424
AT4G05380 7.351953322257355
AT1G60470 7.262200018163618
AT1G76960 7.257488888890947
AT2G42540 7.25548867196399
AT5G38910 7.249460317549823
AT5G24080 7.173567329498405
AT4G21930 7.154467127079015
AT3G28510 7.144457743182907
AT5G17220 7.112338440431098
AT1G66950 7.1069389762089035
AT5G59330 7.075707865454134
AT1G62560 7.075123520280817
AT4G27160 7.070386175511351
AT1G26390 7.063949265687885
AT1G75830 7.04882911647741
AT4G04500 7.043267435117741
AT1G34047 6.975753198139402
AT1G14950 6.962280399565988
AT5G57810 6.937788387523126
AT3G29590 6.912749222744518
AT5G22545 6.901609404939262
AT3G44350 6.893934108929288
AT3G12900 6.889362996960469
AT1G14880 6.873708660968291
AT1G67856 6.85514880466256
AT4G14060 6.849570426971236
AT4G24000 6.836724335470129
AT4G25850 6.799971734982268
AT5G07700 6.7804788945891215
AT1G16410 6.7636216982258
AT4G23600 6.7607505277251825
AT3G02885 6.752594023876074
AT1G65790 6.747906986000767
AT5G22460 6.733522905010089
AT5G54060 6.721398958698406
AT2G33080 6.698490127548919
AT5G07690 6.637065461726748
AT1G48660 6.63600624237797
AT3G57260 6.610081093361068
AT2G13810 6.58643280853019
AT3G45860 6.58581142331369
AT5G43370 6.581090220959351
AT1G20180 6.5668590934287865
AT4G12735 6.562895791247454
AT5G59320 6.556136888114284
AT1G06100 6.537107573495898
AT5G55150 6.527312754606282
AT5G55240 6.511439680135039
AT4G01985 6.499338688886354
AT3G13784 6.493581812213266
AT1G53080 6.491239575370742
AT1G13310 6.476878008079404
AT1G61800 6.435762664382368
AT2G32680 6.357779578540463
AT3G55240 6.355457798060016
AT1G18830 6.344441672207834
AT2G01040 6.329521668083593
AT2G04050 6.30066800296763
AT1G05510 6.289232573259568
AT3G58060 6.2668502187986315
AT5G53230 6.2614517190628645
AT5G42610 6.223332540475067
AT2G15780 6.2147701025148345
AT4G32212 6.2131873356588345
AT4G25200 6.202727426179734
AT1G57650 6.168390757821983
AT5G55410 6.155056823059632
AT5G38900 6.154287429728723
AT5G15960 6.14310215414261
AT2G20800 6.12884008219361
AT2G30670 6.1209950731922556
AT4G23140 6.110513756633804
AT3G28890 6.097484239376765
AT1G56600 6.089577177139982
AT1G32350 6.076542685854029
AT3G15536 6.066702579948745
AT4G03060 6.051029589684965
AT3G56970 6.039051597639064
AT2G46640 6.036575911943917
AT1G05450 6.032829626156388
AT4G10860 6.017663710698539
AT3G02810 5.998092124497139
AT1G19630 5.990482040139411
AT2G30660 5.977219828417059
AT1G25422 5.969133892015512
AT1G66960 5.902906617457302
AT1G80130 5.884384546689749
AT4G05370 5.861828399882805
AT3G61111 5.834731650138093
AT4G01380 5.825855903637275
AT2G18660 5.823450913289157
AT1G27461 5.821658707199669
AT5G24770 5.818781825237615
AT1G43780 5.813210861218221
AT4G26740 5.792222239174179
AT1G73220 5.792038652319457
AT1G77160 5.792034977263603
AT1G32960 5.773146219882954
AT1G73810 5.763351883204882
AT2G37870 5.761267991558982
AT1G19780 5.744734675352016
AT5G13170 5.728603079419589
AT4G25010 5.684340493659051
AT5G10760 5.677581631713766
AT1G58225 5.669059711612935
AT2G39510 5.645941230292506
AT5G65980 5.639028122894727
AT1G77950 5.631292944525034
AT3G25260 5.564565730726405
AT5G09570 5.554370577781827
AT2G41380 5.529019991707177
AT1G64360 5.48892278262401
AT1G21890 5.481741292056609
AT4G23496 5.481631206223672
AT4G27150 5.476273286157055
AT5G37940 5.456973629547113
AT1G68765 5.456386153194191
AT1G70840 5.450875571945025
AT5G01870 5.44984968808384
AT1G07430 5.448248324146464
AT1G19960 5.442508155657202
AT4G23150 5.409779278488839
